domain,tld,availability,dns,source,checked_at,notes
testiptv.fr,fr,taken,no_a,rdap.nic.fr,2026-09-13,
iptvessai.fr,fr,taken,no_a,rdap.nic.fr,2026-09-13,
compareriptv.fr,fr,appears_available,no_a,rdap.nic.fr,2026-09-13,
avis-iptv.fr,fr,appears_available,no_a,rdap.nic.fr,2026-09-13,
iptv-box.fr,fr,appears_available,no_a,rdap.nic.fr,2026-09-13,
iptvandroid.fr,fr,appears_available,no_a,rdap.nic.fr,2026-09-13,
iptvsamsung.fr,fr,appears_available,no_a,rdap.nic.fr,2026-09-13,
iptvnederland.nl,nl,taken,resolves,rdap.sidn.nl,2026-09-13,
iptv.nl,nl,taken,,rdap.sidn.nl,2026-09-13,
iptvabonnement.nl,nl,taken,,rdap.sidn.nl,2026-09-13,
besteiptv.nl,nl,taken,,rdap.sidn.nl,2026-09-13,
iptvgids.nl,nl,taken,resolves,rdap.sidn.nl,2026-09-13,
iptvvergelijken.nl,nl,taken,resolves,rdap.sidn.nl,2026-09-13,
iptvvergelijker.nl,nl,appears_available,no_a,rdap.sidn.nl,2026-09-13,
besteiptvprovider.nl,nl,appears_available,no_a,rdap.sidn.nl,2026-09-13,
iptvproberen.nl,nl,appears_available,no_a,rdap.sidn.nl,2026-09-13,
iptvfirestick.nl,nl,appears_available,no_a,rdap.sidn.nl,2026-09-13,
iptvdeutschland.de,de,taken,,rdap.denic.de,2026-09-13,
iptv.de,de,taken,,rdap.denic.de,2026-09-13,
iptvanbieter.de,de,taken,,rdap.denic.de,2026-09-13,
iptvabo.de,de,taken,,rdap.denic.de,2026-09-13,
iptvvergleich.de,de,taken,resolves,rdap.denic.de,2026-09-13,
iptvtest.de,de,taken,resolves,rdap.denic.de,2026-09-13,
iptvfirestick.de,de,taken,resolves,rdap.denic.de,2026-09-13,
iptvsmarttv.de,de,taken,resolves,rdap.denic.de,2026-09-13,
iptvvergleicher.de,de,appears_available,no_a,rdap.denic.de,2026-09-13,
iptvanbietervergleich.de,de,appears_available,no_a,rdap.denic.de,2026-09-13,
iptvschweiz.ch,ch,taken,,rdap.nic.ch,2026-09-13,
iptvsuisse.ch,ch,taken,,rdap.nic.ch,2026-09-13,
iptv.ch,ch,taken,,rdap.nic.ch,2026-09-13,
meilleuriptv.ch,ch,taken,resolves,rdap.nic.ch,2026-09-13,
iptvguide.ch,ch,appears_available,no_a,rdap.nic.ch,2026-09-13,
vergleichiptv.ch,ch,appears_available,no_a,rdap.nic.ch,2026-09-13,
iptvvergleich.ch,ch,appears_available,no_a,rdap.nic.ch,2026-09-13,
iptvabo.ch,ch,appears_available,no_a,rdap.nic.ch,2026-09-13,
iptv.be,be,treat_taken,resolves,dns,2026-09-13,native BE RDAP unreachable
iptvbelgique.be,be,treat_taken,resolves,dns,2026-09-13,
iptvbelgium.be,be,treat_taken,resolves,dns,2026-09-13,
abonnementiptv.be,be,needs_confirm,no_a,rdap.org 404,2026-09-13,confirm DNS Belgium
iptvbelgie.be,be,needs_confirm,no_a,rdap.org 404,2026-09-13,confirm DNS Belgium
iptvaustralia.com.au,com.au,taken,resolves,rdap.org 200,2026-09-13,
iptv.com.au,com.au,taken,resolves,rdap.org 200,2026-09-13,
bestiptv.com.au,com.au,taken,resolves,rdap.org 200,2026-09-13,
iptvau.com.au,com.au,appears_available,no_a,rdap.org 404,2026-09-13,auDA eligibility
iptv.nz,nz,treat_taken,resolves,dns,2026-09-13,
iptv.co.nz,co.nz,treat_taken,resolves,dns,2026-09-13,
iptvnewzealand.co.nz,co.nz,treat_taken,resolves,dns,2026-09-13,
iptvnz.co.nz,co.nz,needs_confirm,no_a,rdap.org 404,2026-09-13,
iptv.no,no,taken,,rdap.norid.no,2026-09-13,
iptv.fi,fi,taken,resolves,rdap.org 200,2026-09-13,first Punktum-style 404 was a false lead
iptv.dk,dk,needs_confirm,no_a,rdap.punktum.dk 404,2026-09-13,may be reserved; confirm Punktum
iptv.at,at,treat_taken,resolves,dns,2026-09-13,
iptvoesterreich.at,at,needs_confirm,no_a,rdap.org 404,2026-09-13,
iptv.es,es,treat_taken,resolves,dns,2026-09-13,
iptvespana.es,es,treat_taken,resolves,dns,2026-09-13,
iptvitalia.it,it,treat_taken,resolves,dns,2026-09-13,
iptv.it,it,needs_confirm,no_a,rdap.org 404,2026-09-13,likely reserved/premium — do not assume available
iptvportugal.pt,pt,treat_taken,resolves,dns,2026-09-13,
iptv.se,se,treat_taken,resolves,dns,2026-09-13,
iptvcanada.blog,blog,appears_available,,Porkbun UI,2026-09-13,low-value TLD not prioritized
iptvcanada.fyi,fyi,appears_available,,Porkbun UI,2026-09-13,low-value TLD not prioritized
